Home Team,Away Team,Home Goals,Away Goals
Russia,Saudi Arabia,5,0
Egypt,Uruguay,0,1
Morocco,Iran,0,1
Portugal,Spain,3,3
France,Australia,2,1
Argentina,Iceland,1,1
Peru,Denmark,0,1
Croatia,Nigeria,2,0
Costa Rica,Serbia,0,1
Germany,Mexico,0,1
Brazil,Switzerland,1,1
Sweden,Korea Republic,1,0
Belgium,Panama,3,0
Tunisia,England,1,2
Colombia,Japan,1,2
Poland,Senegal,1,2
Russia,Egypt,3,1
Portugal,Morocco,1,0
Uruguay,Saudi Arabia,1,0
Iran,Spain,0,1
Denmark,Australia,1,1
France,Peru,1,0
Argentina,Croatia,0,3
Brazil,Costa Rica,2,0
Nigeria,Iceland,5,2
Serbia,Switzerland,1,2
Belgium,Tunisia,5,2
Korea Republic,Mexico,1,2
Germany,Sweden,2,1
England,Panama,6,1
Japan,Senegal,2,2
Poland,Colombia,0,3
Uruguay,Russia,3,0
Saudi Arabia,Egypt,2,1
Iran,Portugal,1,1
Spain,Morocco,2,2
Denmark,France,0,0
Australia,Peru,0,2
Nigeria,Argentina,1,2
Iceland,Croatia,1,2
Mexico,Sweden,0,3
Korea Republic,Germany,2,0
Serbia,Brazil,0,2
Switzerland,Costa Rica,2,2
Japan,Poland,0,1
Senegal,Colombia,0,1
Panama,Tunisia,1,2
England,Belgium,0,1
